,value,compartment,time,network,model,N,T
76,0.243,removed,120.0,PLC_pre,SEIVR,10000,150
77,0.2437,removed,130.0,PLC_pre,SEIVR,10000,150
78,0.2446,removed,140.0,PLC_pre,SEIVR,10000,150
79,0.2447,removed,150.0,PLC_pre,SEIVR,10000,150
0,0.9892,susceptible,0.0,PLC_pre,SEIVR_Q,10000,150
1,0.9719,susceptible,10.0,PLC_pre,SEIVR_Q,10000,150
2,0.9532,susceptible,20.0,PLC_pre,SEIVR_Q,10000,150
3,0.9231,susceptible,30.0,PLC_pre,SEIVR_Q,10000,150
4,0.8921,susceptible,40.0,PLC_pre,SEIVR_Q,10000,150
5,0.857,susceptible,50.0,PLC_pre,SEIVR_Q,10000,150
6,0.8161,susceptible,60.0,PLC_pre,SEIVR_Q,10000,150
7,0.7829,susceptible,70.0,PLC_pre,SEIVR_Q,10000,150
8,0.7562,susceptible,80.0,PLC_pre,SEIVR_Q,10000,150
9,0.7399,susceptible,90.0,PLC_pre,SEIVR_Q,10000,150
10,0.7278,susceptible,100.0,PLC_pre,SEIVR_Q,10000,150
11,0.7181,susceptible,110.0,PLC_pre,SEIVR_Q,10000,150
12,0.7084,susceptible,120.0,PLC_pre,SEIVR_Q,10000,150
13,0.699,susceptible,130.0,PLC_pre,SEIVR_Q,10000,150
14,0.6913,susceptible,140.0,PLC_pre,SEIVR_Q,10000,150
15,0.6836,susceptible,150.0,PLC_pre,SEIVR_Q,10000,150
16,0.0108,exposed,0.0,PLC_pre,SEIVR_Q,10000,150
17,0.0053,exposed,10.0,PLC_pre,SEIVR_Q,10000,150
18,0.0054,exposed,20.0,PLC_pre,SEIVR_Q,10000,150
19,0.0096,exposed,30.0,PLC_pre,SEIVR_Q,10000,150
20,0.0118,exposed,40.0,PLC_pre,SEIVR_Q,10000,150
21,0.0142,exposed,50.0,PLC_pre,SEIVR_Q,10000,150
22,0.0146,exposed,60.0,PLC_pre,SEIVR_Q,10000,150
23,0.0137,exposed,70.0,PLC_pre,SEIVR_Q,10000,150
24,0.0103,exposed,80.0,PLC_pre,SEIVR_Q,10000,150
25,0.0058,exposed,90.0,PLC_pre,SEIVR_Q,10000,150
26,0.0023,exposed,100.0,PLC_pre,SEIVR_Q,10000,150
27,0.003,exposed,110.0,PLC_pre,SEIVR_Q,10000,150
28,0.0012,exposed,120.0,PLC_pre,SEIVR_Q,10000,150
29,0.0008,exposed,130.0,PLC_pre,SEIVR_Q,10000,150
30,0.0002,exposed,140.0,PLC_pre,SEIVR_Q,10000,150
31,0.0003,exposed,150.0,PLC_pre,SEIVR_Q,10000,150
32,0.0,infected,0.0,PLC_pre,SEIVR_Q,10000,150
33,0.0066,infected,10.0,PLC_pre,SEIVR_Q,10000,150
34,0.009,infected,20.0,PLC_pre,SEIVR_Q,10000,150
35,0.0146,infected,30.0,PLC_pre,SEIVR_Q,10000,150
36,0.0167,infected,40.0,PLC_pre,SEIVR_Q,10000,150
37,0.0206,infected,50.0,PLC_pre,SEIVR_Q,10000,150
38,0.0277,infected,60.0,PLC_pre,SEIVR_Q,10000,150
